Y & T - Mean Streak
Y & T - Rescue Me
Y & T - Summertime Girls
Yaire - Contestame
Yamin, Elliott - One Word
Yamin, Elliott - Wait for You
Yankee Grey - This Time Around
Yankee Grey - Another Nine Minutes
Yankee Grey - All Things Considered
Yankovic,  Weird Al  - It's All About the Pentiums
Yankovic,  Weird Al  - Like a Surgeon
Yankovic,  Weird Al  - Men in Brown
Yankovic,  Weird Al  - My Bologna
Yankovic,  Weird Al  - Night Santa Went Crazy, The
Yankovic,  Weird Al  - One More Minute
Yankovic,  Weird Al  - Phony Calls
Yankovic,  Weird Al  - Ricky
Yankovic,  Weird Al  - Saga Begins, The
Yankovic,  Weird Al  - She Drives Like Crazy
Yankovic,  Weird Al  - Smells Like Nirvana
Yankovic,  Weird Al  - Spam
Yankovic,  Weird Al  - White & Nerdy
Yankovic,  Weird Al  - Yoda
Yankovic,  Weird Al  - You Don't Love Me Anymore
Yankovic,  Weird Al  - I Want a New Duck
Yankovic,  Weird Al  - I Think I'm a Clone Now
Yankovic,  Weird Al  - I Love Rocky Road
Yankovic,  Weird Al  - Achy Breaky Song
Yankovic,  Weird Al  - Addicted to Spuds
Yankovic,  Weird Al  - Alimony
Yankovic,  Weird Al  - Amish Paradise
Yankovic,  Weird Al  - Another One Rides the Bus
Yankovic,  Weird Al  - Bedrock Anthem
Yankovic,  Weird Al  - Christmas at Ground Zero
Yankovic,  Weird Al  - Complicated Song, A
Yankovic,  Weird Al  - Dare to Be Stupid
Yankovic,  Weird Al  - I Lost on Jeopardy
Yankovic,  Weird Al  - Gump
Yankovic,  Weird Al  - Grapefruit Diet
Yankovic,  Weird Al  - Fat
Yankovic,  Weird Al  - Ebay
Yankovic,  Weird Al  - Eat It
Yarborough, Glen - Baby the Rain Must Fall
Yardbirds, The - Shapes of Things
Yardbirds, The - I'm a Man
Yardbirds, The - Heart Full of Soul
Yardbirds, The - For Your Love
Yardbirds, The -  see also  Led Zeppelin 
Yardbirds, The -  see also  Clapton, Eric 
Yardbirds, The -  see also  Beck, Jeff 
Yasmeen - Blue Jeans [w/Ghostface Killah]
Yates, Billy - Flowers
Yates, Billy - Shadows
Yates, Billy - What Do You Want from Me Now
Yayo, Tony - So Seductive [w/50 Cent]
Yaz - Situation
Yazoo - Don't Go
Yazoo - Nobody's Diary
Yazoo - Only You
Yazoo - Situation
